fecha,ano,mes,dia,hospitalizados_totales,hospitalizados_totales_cdmx,hospitalizados_totales_edomex,camas_intubados_totales,camas_intubados_cdmx,camas_intubados_edomex,camas_generales_totales,camas_generales_cdmx,camas_generales_edomex
27/08/2020,2020,agosto 2020,27,3863,2900,963,900,699,201,2963,2201,762
28/08/2020,2020,agosto 2020,28,3831,2884,947,892,703,189,2939,2181,758
29/08/2020,2020,agosto 2020,29,3755,2828,927,898,704,194,2857,2124,733
30/08/2020,2020,agosto 2020,30,3759,2852,907,885,702,183,2874,2150,724
31/08/2020,2020,agosto 2020,31,3836,2925,911,909,717,192,2927,2208,719
01/09/2020,2020,septiembre 2020,1,3864,2942,922,897,702,195,2967,2240,727
02/09/2020,2020,septiembre 2020,2,3848,2899,949,868,688,180,2980,2211,769
03/09/2020,2020,septiembre 2020,3,3763,2857,906,857,673,184,2906,2184,722
04/09/2020,2020,septiembre 2020,4,3777,2881,896,848,669,179,2929,2212,717
05/09/2020,2020,septiembre 2020,5,3722,2832,890,856,674,182,2866,2158,708
06/09/2020,2020,septiembre 2020,6,3744,2857,887,874,692,182,2870,2165,705
07/09/2020,2020,septiembre 2020,7,3776,2876,900,868,674,194,2908,2202,706
08/09/2020,2020,septiembre 2020,8,3847,2917,930,868,684,184,2979,2233,746
09/09/2020,2020,septiembre 2020,9,3837,2909,928,868,686,182,2969,2223,746
10/09/2020,2020,septiembre 2020,10,3885,2941,944,880,685,195,3005,2256,749
11/09/2020,2020,septiembre 2020,11,3825,2895,930,904,707,197,2921,2188,733
12/09/2020,2020,septiembre 2020,12,3807,2868,939,894,704,190,2913,2164,749
13/09/2020,2020,septiembre 2020,13,3790,2860,930,877,694,183,2913,2166,747
14/09/2020,2020,septiembre 2020,14,3803,2884,919,895,701,194,2908,2183,725
15/09/2020,2020,septiembre 2020,15,3784,2844,940,892,706,186,2892,2138,754
16/09/2020,2020,septiembre 2020,16,3748,2826,922,882,693,189,2866,2133,733
17/09/2020,2020,septiembre 2020,17,3716,2796,920,898,706,192,2818,2090,728
18/09/2020,2020,septiembre 2020,18,3771,2838,933,905,709,196,2866,2129,737
19/09/2020,2020,septiembre 2020,19,3653,2762,891,893,697,196,2760,2065,695
20/09/2020,2020,septiembre 2020,20,3610,2718,892,909,713,196,2701,2005,696
21/09/2020,2020,septiembre 2020,21,3616,2740,876,891,707,184,2725,2033,692
22/09/2020,2020,septiembre 2020,22,3598,2729,869,867,684,183,2731,2045,686
23/09/2020,2020,septiembre 2020,23,3602,2720,882,872,690,182,2730,2030,700
24/09/2020,2020,septiembre 2020,24,3524,2677,847,861,684,177,2663,1993,670
25/09/2020,2020,septiembre 2020,25,3482,2641,841,846,675,171,2636,1966,670
26/09/2020,2020,septiembre 2020,26,3388,2564,824,826,659,167,2562,1905,657
27/09/2020,2020,septiembre 2020,27,3384,2550,834,838,681,157,2546,1869,677
28/09/2020,2020,septiembre 2020,28,3425,2605,820,846,679,167,2579,1926,653
29/09/2020,2020,septiembre 2020,29,3434,2594,840,824,659,165,2610,1935,675
30/09/2020,2020,septiembre 2020,30,3444,2588,856,837,670,167,2607,1918,689
01/10/2020,2020,octubre 2020,1,3455,2607,848,828,658,170,2627,1949,678
02/10/2020,2020,octubre 2020,2,3446,2612,834,832,669,163,2614,1943,671
03/10/2020,2020,octubre 2020,3,3400,2569,831,821,664,157,2579,1905,674
04/10/2020,2020,octubre 2020,4,3419,2558,861,823,670,153,2596,1888,708
05/10/2020,2020,octubre 2020,5,3479,2588,891,820,664,156,2659,1924,735
06/10/2020,2020,octubre 2020,6,3521,2606,915,834,669,165,2687,1937,750
07/10/2020,2020,octubre 2020,7,3496,2596,900,841,668,173,2655,1928,727
08/10/2020,2020,octubre 2020,8,3482,2590,892,858,675,183,2624,1915,709
09/10/2020,2020,octubre 2020,9,3468,2591,877,841,665,176,2627,1926,701
10/10/2020,2020,octubre 2020,10,3405,2565,840,831,656,175,2574,1909,665
11/10/2020,2020,octubre 2020,11,3472,2607,865,859,687,172,2613,1920,693
12/10/2020,2020,octubre 2020,12,3538,2645,893,869,699,170,2669,1946,723
13/10/2020,2020,octubre 2020,13,3548,2663,885,853,680,173,2695,1983,712
14/10/2020,2020,octubre 2020,14,3604,2704,900,869,701,168,2735,2003,732
15/10/2020,2020,octubre 2020,15,3598,2694,904,880,695,185,2718,1999,719
16/10/2020,2020,octubre 2020,16,3624,2711,913,858,673,185,2766,2038,728
17/10/2020,2020,octubre 2020,17,3637,2724,913,863,678,185,2774,2046,728
18/10/2020,2020,octubre 2020,18,3679,2746,933,869,683,186,2810,2063,747
19/10/2020,2020,octubre 2020,19,3730,2775,955,878,696,182,2852,2079,773
20/10/2020,2020,octubre 2020,20,3755,2764,991,884,702,186,2871,2062,805
21/10/2020,2020,octubre 2020,21,3752,2761,991,911,720,191,2841,2041,800
22/10/2020,2020,octubre 2020,22,3726,2769,957,949,751,198,2777,2018,759
23/10/2020,2020,octubre 2020,23,3743,2791,952,927,744,183,2816,2047,769
24/10/2020,2020,octubre 2020,24,3714,2770,944,892,712,180,2822,2058,764
25/10/2020,2020,octubre 2020,25,3761,2816,945,919,736,183,2842,2080,762
26/10/2020,2020,octubre 2020,26,3778,2820,958,934,734,200,2844,2086,758
27/10/2020,2020,octubre 2020,27,3821,2841,980,922,725,197,2899,2116,783
28/10/2020,2020,octubre 2020,28,3876,2889,987,942,740,202,2934,2149,785
29/10/2020,2020,octubre 2020,29,3887,2893,994,932,723,209,2955,2170,785
30/10/2020,2020,octubre 2020,30,3837,2859,978,924,715,209,2913,2144,769
31/10/2020,2020,octubre 2020,31,3752,2834,918,923,722,201,2829,2112,717
01/11/2020,2020,noviembre 2020,1,3802,2861,941,935,743,192,2867,2118,749
02/11/2020,2020,noviembre 2020,2,3810,2870,940,915,733,182,2895,2137,758
03/11/2020,2020,noviembre 2020,3,3831,2892,939,910,735,175,2921,2157,764
04/11/2020,2020,noviembre 2020,4,3836,2899,937,915,729,186,2921,2170,751
05/11/2020,2020,noviembre 2020,5,3872,2923,949,943,758,185,2929,2165,764
06/11/2020,2020,noviembre 2020,6,3844,2906,938,914,718,196,2930,2188,742
07/11/2020,2020,noviembre 2020,7,3801,2859,942,933,743,190,2868,2116,752
08/11/2020,2020,noviembre 2020,8,3902,2956,946,944,753,191,2958,2203,755
09/11/2020,2020,noviembre 2020,9,3970,2982,988,957,772,185,3013,2210,803
10/11/2020,2020,noviembre 2020,10,4103,3110,993,955,768,187,3148,2342,806
11/11/2020,2020,noviembre 2020,11,4232,3161,1071,1000,803,197,3232,2358,874
12/11/2020,2020,noviembre 2020,12,4247,3227,1020,1017,817,200,3230,2410,820
13/11/2020,2020,noviembre 2020,13,4313,3282,1031,1021,820,201,3292,2462,830
14/11/2020,2020,noviembre 2020,14,4309,3252,1057,1040,842,198,3269,2410,859
15/11/2020,2020,noviembre 2020,15,4353,3308,1045,1053,850,203,3300,2458,842
16/11/2020,2020,noviembre 2020,16,4414,3340,1074,1061,849,212,3353,2491,862
17/11/2020,2020,noviembre 2020,17,4492,3354,1138,1035,827,208,3457,2527,930
18/11/2020,2020,noviembre 2020,18,4595,3416,1179,1060,844,216,3535,2572,963
19/11/2020,2020,noviembre 2020,19,4596,3427,1169,1053,836,217,3543,2591,952
20/11/2020,2020,noviembre 2020,20,4618,3452,1166,1089,862,227,3529,2590,939
21/11/2020,2020,noviembre 2020,21,4562,3398,1164,1091,861,230,3471,2537,934
22/11/2020,2020,noviembre 2020,22,4648,3468,1180,1112,872,240,3536,2596,940
23/11/2020,2020,noviembre 2020,23,4681,3465,1216,1112,865,247,3569,2600,969
24/11/2020,2020,noviembre 2020,24,4758,3553,1205,1058,831,227,3700,2722,978
25/11/2020,2020,noviembre 2020,25,4822,3599,1223,1075,844,231,3747,2755,992
26/11/2020,2020,noviembre 2020,26,4886,3632,1254,1129,886,243,3757,2746,1011
27/11/2020,2020,noviembre 2020,27,4967,3675,1292,1130,887,243,3837,2788,1049
28/11/2020,2020,noviembre 2020,28,5047,3717,1330,1186,933,253,3861,2784,1077
29/11/2020,2020,noviembre 2020,29,5047,3739,1308,1176,924,252,3871,2815,1056
30/11/2020,2020,noviembre 2020,30,5174,3839,1335,1165,909,256,4009,2930,1079
01/12/2020,2020,diciembre 2020,1,5301,3911,1390,1192,932,260,4109,2979,1130
02/12/2020,2020,diciembre 2020,2,5338,3916,1422,1179,923,256,4159,2993,1166
03/12/2020,2020,diciembre 2020,3,5359,3917,1442,1138,898,240,4221,3019,1202
04/12/2020,2020,diciembre 2020,4,5481,3989,1492,1187,936,251,4294,3053,1241
05/12/2020,2020,diciembre 2020,5,5465,3993,1472,1188,923,265,4277,3070,1207
06/12/2020,2020,diciembre 2020,6,5517,4033,1484,1217,948,269,4300,3085,1215
07/12/2020,2020,diciembre 2020,7,5695,4131,1564,1228,959,269,4467,3172,1295
08/12/2020,2020,diciembre 2020,8,5879,4235,1644,1218,958,260,4661,3277,1384
09/12/2020,2020,diciembre 2020,9,6065,4382,1683,1287,1008,279,4778,3374,1404
10/12/2020,2020,diciembre 2020,10,6194,4454,1740,1302,1014,288,4892,3440,1452
11/12/2020,2020,diciembre 2020,11,6321,4527,1794,1333,1036,297,4988,3491,1497
12/12/2020,2020,diciembre 2020,12,6330,4549,1781,1327,1032,295,5003,3517,1486
13/12/2020,2020,diciembre 2020,13,6439,4606,1833,1354,1060,294,5085,3546,1539
14/12/2020,2020,diciembre 2020,14,6622,4732,1890,1373,1078,295,5249,3654,1595
15/12/2020,2020,diciembre 2020,15,6746,4843,1903,1452,1147,305,5294,3696,1598
16/12/2020,2020,diciembre 2020,16,6832,4863,1969,1496,1162,334,5336,3701,1635
17/12/2020,2020,diciembre 2020,17,6972,4947,2025,1539,1180,359,5433,3767,1666
18/12/2020,2020,diciembre 2020,18,7094,5047,2047,1614,1238,376,5480,3809,1671
19/12/2020,2020,diciembre 2020,19,7109,5089,2020,1715,1342,373,5394,3747,1647
20/12/2020,2020,diciembre 2020,20,7334,5212,2122,1763,1363,400,5571,3849,1722
